

1	WOher	Woher	PWAV	woher	_	MO	4
2	,	,	$,	,	_	--	1
3	so	so	ADV	so	_	MO	4
4	ernsthaft	ernsthaft	ADJD	ernsthaft	pos	PD	6
5	mein	mein	PPOSAT	mein	nom|sg|masc	NK	6
6	Nachbar	Nachbar	NN	Nachbar	nom|sg|masc	--	0
7	?	?	SENT	?	_	--	6

1	Zwar	Zwar	ADV	zwar	_	MO	3
2	wir	wir	PPER	wir	nom|pl|*|1	NK	3
3	Leuthe	Leute	NN	Leute	nom|pl|*	SB	4
4	haben	haben	VAFIN	haben	pl|3|pres|ind	--	0
5	immer	immer	ADV	immer	_	MO	8
6	was	was	PWS	was	acc|sg|neut	OA	8
7	zu	zu	PTKZU	zu	_	PM	8
8	thun	tun	VVINF	tun	_	OC	4
9	,	,	$,	,	_	--	8
10	wenn	wenn	KOUS	wenn	_	CP	15
11	wir	wir	PPER	wir	nom|pl|*|1	SB	15
12	die	die	ART	d	acc|sg|fem	NK	13
13	Herde	Herde	NN	Herde	acc|sg|fem	OA	15
14	recht	recht	ADJD	recht	_	MO	15
15	pflegen	pflegen	VVFIN	pflegen	_	MO	8
16	,	,	$,	,	_	--	15
17	und	und	KON	und	_	CD	4
18	unser	unser	PPOSAT	unser	nom|sg|neut	NK	20
19	kleines	kleines	ADJA	klein	nom|sg|neut|pos	NK	20
20	Gut	Gut	NN	Gut	nom|sg|neut	SB	28
21	,	,	$,	,	_	--	20
22	wie	wie	KOUS	wie	_	MO	24
23	man	man	PIS	man	nom|sg|*	SB	25
24	thun	tun	VVINF	tun	_	OC	25
25	soll	soll	VMFIN	sollen	sg|3|pres|ind	RC	20
26	,	,	$,	,	_	--	25
27	besorgen	besorgen	VVINF	besorgen	_	OC	28
28	wollen	wollen	VMFIN	wollen	_	CJ	17
29	.	.	SENT	.	_	--	28

1	Du	Du	PPER	du	nom|sg|*|2	SB	2
2	hast	hast	VAFIN	haben	sg|2|pres|ind	--	0
3	recht	recht	ADJD	recht	acc|sg|neut	OA	2
4	,	,	$,	,	_	--	3
5	redliches	redliches	ADJA	redliches	nom|sg|neut|pos	NK	6
6	Weib	Weib	NN	Weib	nom|sg|neut	CJ	3
7	!	!	SENT	!	_	--	6

1	die	die	ART	d	nom|pl|masc	NK	2
2	Tage	Tage	NN	Tag	nom|pl|masc	SB	3
3	kommen	kommen	VVINF	kommen	pl|3|pres|ind	--	0
4	und	und	KON	und	_	CD	3
5	gehen	gehen	VVINF	gehen	pl|3|pres|ind	CJ	4
6	bey	bei	APPR	bei	_	MO	5
7	der	der	ART	d	dat|sg|fem	NK	8
8	Arbeit	Arbeit	NN	Arbeit	dat|sg|fem	NK	6
9	viel	viel	ADV	viel	_	MO	10
10	muntrer	munterer	ADJD	munterer	comp	MO	5
11	.	.	SENT	.	_	--	10

1	Ich	Ich	PPER	ich	nom|sg|*|1	SB	2
2	komme	komme	VVFIN	kommen	sg|1|pres|ind	--	0
3	von	von	APPR	von	_	MO	2
4	einem	einem	ART	ein	dat|sg|neut	NK	6
5	heiligen	heiligen	ADJA	heilig	dat|sg|neut|pos	NK	6
6	Werk	Werk	NN	Werk	dat|sg|neut	NK	3
7	,	,	$,	,	_	--	6
8	die	die	PRELS	d	acc|sg|fem	OA	11
9	ich	ich	PPER	ich	nom|sg|*|1	SB	11
10	niemals	niemals	ADV	niemals	_	MO	11
11	unterlasse	unterlasse	VVFIN	unterlasse	sg|3|pres|subj	RC	6
12	;	;	SENT	;	_	--	11

1	ich	ich	PPER	ich	nom|sg|*|1	SB	2
2	habe	habe	VAFIN	haben	sg|1|pres|ind	--	0
3	dem	dem	ART	d	dat|sg|masc	NK	4
4	Pan	Pan	NE	Pan	dat|sg|masc	DA	13
5	die	die	ART	d	acc|sg|fem	NK	6
6	Erstlinge	Erstlinge	NN	Erstlinge	acc|pl|masc	OA	13
7	von	von	APPR	von	_	PG	6
8	fynf	Fünf	CARD	fünf	_	NK	10
9	jungen	jungen	ADJA	jung	dat|pl|masc|pos	NK	10
10	Bæumen	Bäumen	NN	Baum	dat|pl|masc	NK	7
11	im	im	APPRART	im	dat|sg|masc	MO	13
12	Hain	Hain	NN	Hain	dat|sg|masc	NK	11
