

1	Es	Es	PPER	es	nom|sg|neut|3	EP	2
2	wird	wird	VAFIN	werden	sg|3|pres|ind	--	0
3	zum	zum	APPRART	zum	dat|sg|masc	MO	5
4	Verkauf	Verkauf	NN	Verkauf	dat|sg|masc	NK	3
5	angetragen	angetragen	VVPP	antragen	_	OC	2
6	:	:	SENT	:	_	--	5

1	Bey	Bei	APPR	bei	_	MO	6
2	Ausgeberin	Ausgeberin	NN	Ausgeberin	dat|sg|fem	NK	1
3	dieses	dieses	PDS	dies	nom|sg|neut	SB	4
4	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
5	zu	zu	PTKZU	zu	_	PM	6
6	haben	haben	VAINF	haben	_	SB	4
7	:	:	SENT	:	_	--	6

1	Des	Des	ART	d	gen|sg|neut	NK	4
2	weyl.	weiland	ADV	weiland	_	MO	3
3	hocherleuchteten	hocherleuchteten	ADJA	hocherleuchteten	dat|sg|fem|pos	NK	4
4	Theologi	Theologie	NN	Theologie	dat|sg|fem	--	0
5	,	,	$,	,	_	--	4
6	Hrn.	Herrn	NN	Herr	dat|sg|masc	APP	4
7	Johann	Johann	NE	Johann	nom|sg|masc	PNC	8
8	Arndts	Arndts	NE	Arndts	nom|sg|masc	NK	6
9	,	,	$,	,	_	--	8
10	saͤmmtliche	sämtliche	ADJA	sämtlich	acc|pl|neut|pos	NK	11
11	Buͤcher	Bücher	NN	Buch	acc|pl|neut	CJ	4
12	vom	vom	APPRART	vom	dat|sg|masc	MNR	11
13	wahren	wahren	ADJA	wahr	dat|sg|neut|pos	NK	14
14	Christenthum	Christentum	NN	Christentum	dat|sg|neut	NK	12
15	.	.	SENT	.	_	--	14
16	med	medium	NN	Medium	_	MNR	14
17	.	.	SENT	.	_	--	16
18	8	octavo	FM	octavo	_	NK	26
19	vo	.	SENT	.	_	--	18
20	mit	mit	APPR	mit	_	MO	25
21	Kupfern	Kupfern	NE	Kupfern	dat|pl|neut	NK	20
22	.	.	SENT	.	_	--	21
23	fl.	Flohrain	NE	Flohrain	nom|sg|neut	OA	25
24	2.	2.	CARD	@ord@	_	MO	25
25	30.	30.	CARD	@ord@	dat|pl|fem|pos	NK	26
26	kr.	Kronen	NN	Krone	dat|pl|fem	PAR	14
27	Ferner	Ferner	ADV	fern	_	MNR	26
28	eben	eben	ADV	eben	_	MO	29
29	dasselbe	dasselbe	PDS	derselbe	_	SB	164
30	ohne	ohne	APPR	ohne	_	MO	39
31	Kupfer	Kupfer	NN	Kupfer	acc|sg|masc	NK	30
32	.	.	SENT	.	_	--	31
33	fl.	Flohrain	NE	Flohrain	nom|sg|neut	SB	39
34	1.	1.	CARD	@ord@	_	MO	35
35	12.	12.	CARD	@ord@	dat|sg|masc|pos	NK	36
36	kr.	Kronen	NN	Krone	dat|sg|masc	DA	39
37	Johann	Johann	NE	Johann	nom|sg|masc	PNC	38
38	Friedrich	Friedrich	NE	Friedrich	nom|sg|masc	NK	36
39	Starckens	starken	ADJA	stark	nom|pl|fem|pos	NK	42
40	,	,	$,	,	_	--	39
41	Evangelischen	Evangelischen	ADJA	evangelisch	dat|pl|masc|pos	CJ	39
42	Predigern	Predigern	NN	Prediger	dat|pl|masc	CJ	11
43	,	,	$,	,	_	--	42
44	taͤgliches	tägliches	ADJA	täglich	nom|sg|neut|pos	NK	45
45	Hand-Buch	Hand-Buch	NN	Hand-Buch	nom|sg|neut	CJ	42
46	etc.	et	FM	et	_	MNR	45
47	neue	cetera	NE	cetera	_	NK	46
48	,	neue	NA	Neue	nom|pl|masc|pos	NK	61
49	und	,	$,	,	_	--	48
50	von	und	KON	und	_	CD	48
51	dem	von	APPR	von	_	SBP	59
52	Autore	dem	ART	d	dat|sg|masc	NK	53
53	sowohl	Autore	NN	Autore	dat|sg|masc	NK	51
54	mit	sowohl	KON	sowohl	_	CD	55
55	Gebaͤt-	mit	APPR	mit	_	MO	59
56	als	Gebet	NN	Gebet	dat|sg|neut	NK	55
57	Liedern	als	KON	als	_	MO	59
58	vermehrte	Liedern	NN	Lied	dat|pl|neut	NK	57
59	Auflage	vermehrte	ADJA	vermehrt	sg|3|past|ind	CJ	50
60	.	.	SENT	.	_	--	59
61	8	Auflage	NN	Auflage	nom|sg|fem	PAR	45
62	vo	.	SENT	.	_	--	61
63	Frf	octavo	FM	octavo	_	MO	61
64	.	.	SENT	.	_	--	63
65	1749.	Frankfurt	NE	Frankfurt	nom|sg|neut	SB	61
66	50.	1749.	CARD	@ord@	_	NK	69
67	kr.	50.	CARD	@ord@	dat|sg|masc|pos	NK	69
68	kronenDie	kronenDie	NE	kronenDie	nom|sg|neut|pos	NK	69
69	Lust	Lust	NN	Lust	acc|sg|fem	MNR	65
70	der	der	ART	d	gen|pl|fem	NK	71
71	Heiligen	Heiligen	ADJA	heilig	gen|pl|*	AG	69
72	an	an	APPR	an	_	MNR	71
73	Jehova	Jehova	NE	Jehova	dat|sg|*	NK	72
74	,	,	$,	,	_	--	73
75	oder	oder	KON	oder	_	CD	69
76	Gebaͤt-Buch	Gebetbuch	NN	Gebetbuch	nom|sg|neut	CJ	75
77	,	,	$,	,	_	--	76
78	zu	zu	APPR	zu	_	MO	96
79	allen	allen	PIAT	all	dat|pl|fem	NK	80
80	Zeiten	Zeiten	NN	Zeit	dat|pl|fem	NK	78
81	,	,	$,	,	_	--	80
82	in	in	APPR	in	_	CJ	78
83	allen	allen	PIAT	all	dat|pl|fem	NK	84
84	Staͤnden	Ständen	NN	Stand	dat|pl|masc	NK	82
85	,	,	$,	,	_	--	84
86	und	und	KON	und	_	CD	82
87	bey	bei	APPR	bei	_	MO	92
