

1	Gesetz	Gesetz	NN	Gesetz	nom|sg|neut	SB	10
2	,	,	$,	,	_	--	1
3	Welches	Welches	PRELS	welch	nom|sg|neut	SB	8
4	auf	auf	APPR	auf	_	MO	8
5	die	die	ART	d	acc|sg|fem	NK	6
6	Commission	Commission	NN	Kommission	acc|sg|fem	NK	4
7	Bezug	Bezug	NN	Bezug	nom|sg|masc	OA	8
8	hat	hat	VAFIN	haben	sg|3|pres|ind	RC	1
9	,	,	$,	,	_	--	8
10	welcher	welcher	PRELS	welch	nom|sg|masc	SB	12
11	anbefohlen	anbefohlen	VVPP	anbefehlen	_	PD	12
12	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
13	,	,	$,	,	_	--	12
14	in	in	APPR	in	_	MO	12
15	dem	dem	ART	d	dat|sg|neut	NK	17
16	ganzen	ganzen	ADJA	ganz	dat|sg|neut|pos	NK	17
17	Koͤnigreiche	Königreiche	NN	Königreiche	dat|sg|neut	NK	14
18	,	,	$,	,	_	--	17
19	auf	auf	APPR	auf	_	MO	26
20	die	die	ART	d	acc|sg|fem	NK	21
21	Praͤgung	Prägung	NN	Prägung	acc|sg|fem	NK	19
22	der	der	ART	d	gen|sg|fem	NK	23
23	Muͤnze	Münze	NN	Münze	gen|sg|fem	AG	21
24	Acht	Acht	NN	Acht	_	NK	23
25	zu	zu	PTKZU	zu	_	PM	26
26	haben	haben	VAINF	haben	_	RC	17
27	.	.	SENT	.	_	--	26

1	Gegeben	Gegeben	VVPP	geben	_	--	0
2	zu	zu	APPR	zu	_	MO	1
3	Paris	Paris	NE	Paris	dat|sg|neut	NK	2
4	,	,	$,	,	_	--	3
5	den	den	ART	d	acc|sg|masc	NK	8
6	10	10	CARD	@card@	_	MO	7
7	ten	ten	FM	ten	acc|sg|masc|pos	NK	8
8	April	April	NN	April	acc|sg|masc	APP	3
9	1791.	1791.	CARD	@ord@	_	NK	8

1	Ludwig	Ludwig	NE	Ludwig	nom|sg|masc	--	0
2	,	,	$,	,	_	--	1
3	von	von	APPR	von	_	--	0
4	Gottes	Gottes	NE	Gott	gen|sg|masc	AG	5
5	Gnaden	Gnaden	NN	Gnade	dat|pl|fem	NK	3
6	,	,	$,	,	_	--	5
7	und	und	KON	und	_	CD	3
8	durch	durch	APPR	durch	_	CJ	7
9	das	das	ART	d	acc|sg|neut	NK	10
10	Reichs-Grundgesetz	Reichs-Grundgesetz	NN	Reichs-Grundgesetz	acc|sg|neut	NK	8
11	,	,	$,	,	_	--	10
12	Koͤnig	König	NN	König	nom|sg|masc	APP	10
13	der	der	ART	d	gen|pl|masc	NK	14
14	Franzosen	Franzosen	NN	Franzose	gen|pl|masc	AG	12
15	:	:	SENT	:	_	--	14

1	Allen	Allen	PIAT	aller	nom|pl|fem	NK	2
2	Gegenwaͤrtigen	Gegenwärtigen	NN	Gegenwärtigen	dat|pl|*	--	0
3	und	und	KON	und	_	CD	2
4	Zukuͤnftigen	Zukünftigen	NN	Zukünftigen	dat|pl|*	CJ	3
5	;	;	SENT	;	_	--	4

1	Unsern	Unsern	PPOSAT	unser	pl|3|pres|ind	NK	2
2	Gruß	Gruß	NN	Gruß	acc|sg|masc	--	0
3	.	.	SENT	.	_	--	2

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	National-Versammlung	National-Versammlung	NN	National-Versammlung	nom|sg|fem	SB	3
3	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
4	dekretirt	dekretiert	VVPP	dekretieren	_	OC	3
5	,	,	$,	,	_	--	4
6	und	und	KON	und	_	CD	3
7	Wir	Wir	PPER	wir	nom|pl|*|1	SB	8
8	wollen	wollen	VMFIN	wollen	pl|1|pres|ind	CJ	6
9	und	und	KON	und	_	CD	8
10	befehlen	befehlen	VVINF	befehlen	pl|1|pres|ind	MNR	11
11	folgendes	folgendes	PIS	folgend	nom|sg|neut|pos	CJ	9
12	:	:	SENT	:	_	--	11

1	Dekret	Dekret	NN	Dekret	nom|sg|masc	--	0
2	der	der	ART	d	gen|sg|fem	NK	3
3	National-Versammlung	National-Versammlung	NN	National-Versammlung	gen|sg|fem	AG	1
4	,	,	$,	,	_	--	3
5	vom	vom	APPRART	vom	dat|sg|neut	CJ	1
6	3	3	CARD	@card@	_	MO	7
7	ten	ten	FM	ten	dat|sg|masc|pos	NK	8
8	April	April	NN	April	dat|sg|masc	NK	5
9	1791.	1791.	CARD	@ord@	_	NK	8

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	National-Versammlung	National-Versammlung	NN	National-Versammlung	nom|sg|fem	SB	3
3	dekretirt	dekretiert	VVPP	dekretieren	sg|3|pres|ind	--	0
4	folgendes	folgendes	PIS	folgend	acc|sg|neut|pos	MO	3
5	:	:	SENT	:	_	--	4

1	Erster	Erster	ADJA	erst	nom|sg|masc|pos	NK	2
2	Artikel	Artikel	NN	Artikel	nom|sg|masc	--	0
3	.	.	SENT	.	_	--	2

1	Die	Die	ART	d	nom|sg|fem	NK	2
2	Commission	Commission	NN	Kommission	nom|sg|fem	SB	46
3	,	,	$,	,	_	--	2
4	welcher	welcher	PRELS	welch	nom|sg|masc	SB	28
5	in	in	APPR	in	_	MO	26
6	Gefolg	Gefolge	NN	Gefolge	dat|sg|neut	NK	5
7	des	des	ART	d	gen|sg|masc	NK	9
8	IXten	IXten	NN	IXten	gen|sg|masc|pos	NK	9
9	Artikels	Artikels	NN	Artikel	gen|sg|masc	AG	6
10	des	des	ART	d	gen|sg|masc	NK	12
11	IVten	IVten	NN	IVten	gen|sg|masc|pos	NK	12
12	Titels	Titels	NN	Titels	gen|sg|masc	AG	9
13	des	des	ART	d	gen|sg|masc	NK	14
14	Dekrets	Dekrets	NN	Dekret	gen|sg|neut	AG	12
15	die	die	ART	d	acc|sg|fem	NK	16
16	Gerichts-Ordnung	Gerichts-Ordnung	NN	Gerichts-Ordnung	acc|sg|fem	OA	17
17	betreffend	betreffend	ADJD	betreffend	pos	MO	26
18	,	,	$,	,	_	--	17
19	die	die	ART	d	acc|sg|fem	NK	20
20	Aufsicht	Aufsicht	NN	Aufsicht	acc|sg|fem	OA	26
21	uͤber	über	APPR	über	_	MNR	20
22	die	die	ART	d	acc|sg|fem	NK	23
23	Praͤgung	Prägung	NN	Prägung	acc|sg|fem	NK	21
24	der	der	ART	d	gen|sg|fem	NK	25
25	Muͤnze	Münze	NN	Münze	gen|sg|fem	AG	23
26	aufgetragen	aufgetragen	VVPP	auftragen	_	OC	27
27	werden	werden	VAINF	werden	_	OC	28
28	wird	wird	VAFIN	werden	sg|3|pres|ind	RC	2
29	,	,	$,	,	_	--	28
30	welche	welche	PRELS	welch	nom|sg|fem	SB	44
31	auch	auch	ADV	auch	_	MO	33
32	zugleich	zugleich	ADV	zugleich	_	MO	33
33	fuͤr	für	APPR	für	_	MO	44
34	die	die	ART	d	acc|sg|fem	NK	36
35	endliche	endliche	ADJA	endliche	acc|sg|fem|pos	NK	36
36	Lossprechung	Lossprechung	NN	Lossprechung	acc|sg|fem	NK	33
37	der	der	ART	d	gen|pl|fem	NK	38
38	Muͤnzdirektoren	Münzdirektoren	NN	Münzdirektoren	gen|pl|masc	AG	36
39	von	von	APPR	von	_	OP	43
40	aller	aller	PIAT	all	gen|pl|masc	NK	42
41	weitern	weitern	ADJA	weit	dat|pl|masc	NK	42
42	Verantwortlichkeit	Verantwortlichkeit	NN	Verantwortlichkeit	acc|sg|fem	NK	39
43	sorgen	sorgen	VVINF	sorgen	_	OC	44
44	soll	soll	VMFIN	sollen	sg|3|pres|ind	RC	20
45	,	,	$,	,	_	--	44
46	soll	soll	VMFIN	sollen	sg|3|pres|ind	--	0
47	aus	aus	APPR	aus	_	MO	46
48	dem	dem	ART	d	dat|sg|masc	NK	49
49	Minister	Minister	NN	Minister	dat|sg|masc	NK	47
50	des	des	ART	d	gen|sg|neut	NK	51
51	Innern	Inneren	NN	innerer	gen|sg|neut	AG	49
52	,	,	$,	,	_	--	51
53	8	8	CARD	@card@	_	NK	54
54	Kommissarien	Kommissarien	NN	Kommissarie	nom|pl|fem	SB	46
55	,	,	$,	,	_	--	54
56	einem	einem	ART	ein	dat|sg|masc	NK	57
57	General-Sekretar	General-Sekretar	NN	General-Sekretar	dat|sg|masc	CJ	54
58	und	und	KON	und	_	CD	57
59	einem	einem	ART	ein	dat|sg|masc	NK	60
60	Archiv-Bewahrer	Archiv-Bewahrer	NN	Archiv-Bewahrer	dat|sg|masc	CJ	58
61	,	,	$,	,	_	--	60
62	der	der	PRELS	d	nom|sg|masc	SB	71
63	,	,	$,	,	_	--	62
64	da	da	KOUS	da	_	CP	71
65	er	er	PPER	er	nom|sg|masc|3	SB	71
66	verrechnender	verrechnender	ADJA	verrechnender	nom|sg|masc|pos	NK	67
67	Bedienter	Bedienter	NN	Bedienter	nom|sg|masc	MO	70
68	,	,	$,	,	_	--	67
69	Caution	Kaution	NN	Kaution	acc|sg|fem	OA	70
70	stellen	stellen	VVINF	stellen	_	OC	71
71	soll	soll	VMFIN	sollen	sg|3|pres|ind	RC	60
72	,	,	$,	,	_	--	71
73	bestehen	bestehen	VVINF	bestehen	_	OC	69
74	.	.	SENT	.	_	--	73

1	Der	Der	ART	d	nom|sg|masc	NK	2
